1270,(house 612),Oldham,(place 1231),Oldham,9
1564,(house 1141),Rochdale,(place 1231),Oldham,9
2620,(place 1225),Tameside,(place 1225),Tameside,2
2591,(place 1225),Tameside,(place 1225),Tameside,2
1843,(house 993),Trafford,(place 1228),Manchester,9
1657,(house 108),Bury,(place 1227),Bury,9
2700,(place 1225),Tameside,(place 1225),Tameside,2
2688,(place 1225),Tameside,(place 1225),Tameside,2
2450,(house 315),Manchester,(house 315),Manchester,2
2536,(place 1225),Tameside,(place 1225),Tameside,2
1592,(place 1230),Rochdale,(place 1230),Rochdale,2
1983,(house 924),Salford,(place 1226),Salford,9
2569,(house 808),Tameside,(place 1225),Tameside,9
2548,(place 1225),Tameside,(place 1225),Tameside,2
2532,(house 750),Tameside,(place 1225),Tameside,9
1580,(house 1118),Rochdale,(place 1230),Rochdale,9
2531,(house 810),Tameside,(place 1225),Tameside,9
2587,(place 1225),Tameside,(place 1225),Tameside,2
2656,(place 1225),Tameside,(place 1225),Tameside,2
2559,(house 810),Tameside,(place 1225),Tameside,9
1362,(house 647),Oldham,(place 1231),Oldham,9
2030,(house 898),Salford,(place 1226),Salford,9
2584,(house 784),Tameside,(place 1225),Tameside,9
1752,(place 1227),Bury,(place 1227),Bury,2
1578,(house 1100),Rochdale,(place 1230),Rochdale,9
2516,(place 1228),Manchester,(place 1228),Manchester,2
2357,(place 1228),Manchester,(house 521),Manchester,5
2655,(place 1225),Tameside,(place 1225),Tameside,2
2613,(house 750),Tameside,(place 1225),Tameside,9
2602,(house 767),Tameside,(place 1225),Tameside,9
2692,(house 703),Tameside,(place 1225),Tameside,9
1532,(house 1172),Rochdale,(place 1230),Rochdale,9
1884,(house 993),Trafford,(place 1228),Manchester,9
2555,(place 1225),Tameside,(place 1225),Tameside,2
2249,(house 319),Manchester,(place 1226),Salford,9
1526,(place 1230),Rochdale,(place 1230),Rochdale,2
2525,(house 772),Tameside,(place 1225),Tameside,9
2571,(place 1225),Tameside,(place 1225),Tameside,2
2449,(house 515),Manchester,(place 1228),Manchester,9
1977,(house 924),Salford,(place 1226),Salford,9
2538,(place 1225),Tameside,(place 1225),Tameside,2
2691,(house 746),Tameside,(place 1225),Tameside,9
1581,(house 1219),Rochdale,(place 1230),Rochdale,10
2700,(place 1225),Tameside,(place 1225),Tameside,2
2645,(house 783),Tameside,(place 1225),Tameside,10
2128,(house 950),Salford,(place 1226),Salford,10
1398,(house 572),Oldham,(place 1230),Rochdale,10
2613,(place 1225),Tameside,(place 1225),Tameside,2
2555,(place 1225),Tameside,(place 1225),Tameside,2
1668,(house 119),Bury,(place 1227),Bury,10
1501,(house 1203),Rochdale,(place 1226),Salford,10
2622,(house 682),Tameside,(place 1225),Tameside,10
2699,(house 773),Tameside,(place 1225),Tameside,10
2584,(place 1225),Tameside,(place 1225),Tameside,2
1270,(place 1231),Oldham,(place 1231),Oldham,2
1339,(house 618),Oldham,(place 1231),Oldham,10
1445,(house 1110),Rochdale,(place 1230),Rochdale,10
1676,(house 123),Bury,(place 1227),Bury,10
2531,(place 1225),Tameside,(place 1225),Tameside,2
1358,(house 658),Oldham,(place 1231),Oldham,10
