NPTREF,SMSREF,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9400ZZMASLE,MANTMWDM,378909,392006,Sale,SCHOOL ROAD,HOPE RD,M,E0029289,SJR039
9400ZZMASQY,MANTMWDP,381247,397105,Salford Quays,CAPITAL QUAY,MERCHANTS QUAY,M,N0075140,NFR481
9400ZZMASTP,MANTMWDT,383920,397925,St Peter's Square,SAINT PETERS SQ,OXFORD ROAD,M,E0057786,SBR311
9400ZZMASTW,MANTPDPW,382465,393580,St Werburgh's Road,ST WERBURGHS RD,NONE,M,E0028713,SBR498
9400ZZMASWP,MANTWGPT,380773,392420,Sale Water Park,RIFLE ROAD,,M,E0029289,SJR688
9400ZZMATIM,MANTMWDW,377609,389796,Timperley,PARK RD,BALMORAL DRIVE,M,E0029443,SJR034
9400ZZMATRA,MANTMWGA,381703,396156,Trafford Bar,STRETFORD ROAD,SEYMOUR GROVE,M,N0075186,SJR051
9400ZZMAVIC,MANTMWGD,384043,398990,Victoria,CORPORATION ST,,M,E0057786,NBR314
9400ZZMAVPK,MANTPWMT,387288,398411,Velopark,ASHTON NEW ROAD,,M,N0075154,EBR624
9400ZZMAWFD,MANTMWGM,380535,406105,Whitefield,BURY NEW ROAD,STANLEY ROAD,M,E0029536,NCR024
9400ZZMAWIT,MANTWDAD,383527,392919,Withington,PRINCESS RD,,M,E0029558,SBR642
9400ZZMAWPK,MANTWGTM,380442,390134,Wythenshawe Park,WYTHENSHAWE RD,,M,N0075104,SBR694
9400ZZMAWST,MANTMWGP,379658,398461,Weaste,ECCLES NEW RD,KNOTT STREET,M,E0029513,NFR486
9400ZZMAWTD,MANTWDGA,384412,391989,West Didsbury,LAPWING LANE,,M,E0029519,SBR648
9400ZZMAWWD,MANTWGDJ,391756,405081,Westwood,MIDDLETON RD,,M,E0029527,EDR676
9400ZZMAWYT,MANTWJDP,382552,387050,Wythenshawe Town Centre,AINLEY ROAD,,M,E0029594,SBR715
